,CLIENTNUM,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Complain,Satisfaction Score,Point Earned,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
0,768805383,0.4042553191489361,0.6000000000000001,0.6046511627906976,0.8,0.1666666666666666,0.5,0.3401899164694039,0.3087008343265792,0.3451163329759801,0.3929938180747718,0.0352731723600756,0.248062015503876,0.4375336564351104,0.061061061061061,1.0,0.25,0.3916004540295119,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1,818770008,0.4893617021276596,1.0,0.7209302325581396,1.0000000000000002,0.1666666666666666,0.3333333333333333,0.2061116704002999,0.3432657926102503,0.2140932402283197,0.4536355607889314,0.0434516523867809,0.1782945736434108,1.0,0.1051051051051051,1.0,0.5,0.3825198637911464,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2,713982108,0.5319148936170212,0.6000000000000001,0.5348837209302325,0.6000000000000001,0.1666666666666666,0.0,0.0598499895700124,0.0,0.0989482224089473,0.7636149543715043,0.0766106598419939,0.0775193798449612,0.6281637049003771,0.0,1.0,0.5,0.2928490351872872,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
3,769911858,0.2978723404255319,0.8,0.4883720930232558,0.4000000000000001,0.6666666666666666,0.1666666666666666,0.0566756455255353,1.0,0.0229768493031611,0.4136002355019134,0.036775342160899,0.0775193798449612,0.6281637049003771,0.7607607607607608,0.0,1.0,0.2622020431328036,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
4,709106358,0.2978723404255319,0.6000000000000001,0.1860465116279069,0.8,0.1666666666666666,0.0,0.0990909283293578,0.0,0.1365572393011329,0.6402708272004709,0.0170245910759986,0.1395348837209302,0.6731287022078623,0.0,0.0,1.0,0.3473325766174802,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
5,713061558,0.3829787234042553,0.4,0.5348837209302325,0.4000000000000001,0.1666666666666666,0.3333333333333333,0.0777472436112547,0.4954310687326182,0.0799698664271434,0.4050632911392405,0.0321575609213308,0.1085271317829457,0.2277867528271405,0.3113113113113113,1.0,1.0,0.4143019296254256,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
6,810347208,0.5319148936170212,0.8,0.7674418604651162,1.0000000000000002,0.1666666666666666,0.5,1.0000000000000002,0.8994835121176004,0.9344015298583144,0.5813953488372093,0.0456214532101925,0.1627906976744186,0.1943995691976306,0.066066066066066,0.0,0.25,0.0987514188422247,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
7,818906208,0.127659574468085,0.0,0.3255813953488372,0.2,0.3333333333333333,0.3333333333333333,0.8356899058882571,0.5546285260230434,0.8020745805928201,0.648807771563144,0.0571937242683876,0.2015503875968992,0.1922455573505654,0.048048048048048,1.0,0.25,0.1850170261066969,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True
8,710930508,0.2340425531914893,0.6000000000000001,0.5348837209302325,0.8,0.3333333333333333,0.0,0.6322598004093393,1.0,0.5746240547040246,0.987636149543715,0.0467341715811728,0.1085271317829457,0.3182552504038772,0.1131131131131131,0.0,0.5,0.1498297389330306,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
9,719661558,0.4680851063829786,0.4,0.5348837209302325,1.0000000000000002,0.5,0.5,0.3088999537452725,0.66626936829559,0.2890505027091241,0.4486311451280542,0.0517970401691331,0.1705426356589147,0.2374798061389338,0.1441441441441441,0.0,0.5,0.2531214528944381,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
10,708790833,0.3404255319148935,1.0,0.4186046511627906,0.8,0.5,0.3333333333333333,0.1605220435520003,0.5828367103694875,0.1529278822472691,0.2446276125993523,0.0384444197173695,0.248062015503876,0.1830910070005385,0.2172172172172172,0.0,0.5,0.1645856980703745,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
11,710821833,0.8297872340425531,0.2,0.9534883720930232,1.0000000000000002,0.3333333333333333,0.5,0.231476190908074,0.6305125148986889,0.2174542925854026,0.4218428024727701,0.0447312785134082,0.1240310077519379,0.3672590199246096,0.1741741741741742,0.0,0.5,0.1475595913734393,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
12,710599683,0.6382978723404255,0.2,0.5348837209302325,0.4000000000000001,1.0,0.0,0.3117719793093232,0.0,0.340393474922493,1.0,0.0572493601869366,0.0542635658914728,0.8750673128702209,0.0,0.0,0.5,0.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
13,816082233,0.1914893617021276,0.6000000000000001,0.3953488372093023,0.8,0.1666666666666666,0.5,0.2149091381807078,0.6618990862137465,0.1992872251035841,0.3423609066823668,0.0445643707577612,0.1782945736434108,0.5385029617662898,0.1951951951951952,0.0,0.5,0.4880817253121453,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
14,712396908,0.6595744680851062,0.4,0.813953488372093,0.8,0.3333333333333333,0.3333333333333333,0.0301623147921409,0.2701628923321414,0.0507924550169501,0.3503090962614071,0.0589740736619561,0.1472868217054263,0.1645126548196015,0.2792792792792793,0.0,0.25,0.2258796821793416,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
15,714885258,0.3829787234042553,0.8,0.5581395348837209,0.8,0.1666666666666666,0.3333333333333333,0.0845191775728058,0.3861740166865315,0.0944281864804566,0.5025022078304386,0.0466228997440747,0.1317829457364341,0.4577275175013462,0.2302302302302302,0.0,1.0,0.2145289443813847,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
16,709967358,0.4680851063829786,0.8,0.5348837209302325,1.0000000000000002,0.3333333333333333,0.5,0.8745680624710909,0.9384187524831148,0.8113464491640832,0.5027965852222549,0.0645933014354067,0.1317829457364341,0.2501346257404416,0.078078078078078,0.0,0.25,0.0499432463110102,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
17,753327333,0.3191489361702126,0.6000000000000001,0.4883720930232558,0.6000000000000001,0.6666666666666666,0.1666666666666666,0.3657055962173912,0.512912197059992,0.354677947440095,0.1922284368560494,0.0288194058083898,0.0852713178294573,0.4375336564351104,0.0950950950950951,0.0,0.5,0.4824063564131668,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
18,806160108,0.7446808510638298,0.2,1.0,0.2,0.3333333333333333,0.5,0.0530478237604186,1.0,0.0194998985889375,0.5390050044156609,0.0459552687214865,0.1550387596899224,0.3077544426494346,0.7887887887887889,0.0,0.5,0.695800227014756,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
19,709327383,0.4042553191489361,0.4,0.5581395348837209,1.0000000000000002,0.1666666666666666,0.3333333333333333,0.3939723741372586,0.4596742153357171,0.3856517833859705,0.284368560494554,0.0387782352286636,0.0852713178294573,0.2447495961227787,0.0800800800800801,0.0,0.75,0.4063564131668559,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
20,806165208,0.4468085106382978,0.2,0.6744186046511628,0.8,0.3333333333333333,0.0,0.5907514730467959,0.7151370679380215,0.5556167241329354,0.2667059169855755,0.0371647935907421,0.1317829457364341,0.2501346257404416,0.086086086086086,0.0,0.5,0.5096481271282634,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
21,708508758,0.7659574468085105,0.0,0.8372093023255814,0.2,0.5,0.5,0.0,0.0,0.041587228001043,0.308213129231675,0.0101257371759207,0.0465116279069767,0.1615508885298869,0.0,0.0,0.25,0.246311010215664,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
22,784725333,0.3191489361702126,0.6000000000000001,0.4651162790697675,0.6000000000000001,0.3333333333333333,0.1666666666666666,0.0916538937108686,0.2701628923321414,0.1097267696230406,0.4733588460406241,0.0234227217091354,0.0620155038759689,0.4229940764674206,0.1521521521521521,1.0,0.25,0.8717366628830874,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
23,811604133,0.4468085106382978,0.8,0.5348837209302325,0.4000000000000001,0.5,0.3333333333333333,0.0318552982825287,0.6197854588796186,0.0269173934459479,0.1686782455107447,0.0342717258261933,0.1007751937984496,0.0950457727517501,0.6266266266266267,0.0,0.25,0.619750283768445,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
